
tonyStark
Tony Stark is Born
Howard Stark Films Expo Intro
Tony Stark meets Aldrich Killian
Iron Man
Iron Man 2
Marvel's The Avengers
Iron Man 3
Avengers: Age of Ultron
Captain America: Civil War
Spider-Man: Homecoming
Avengers: Infinity War
Rescue of Tony Stark and Ambush on Thanos
Avengers: Endgame

steveRogers
Steve Rogers is Born
Captain America: The First Avenger
Cap Wakes Up
Marvel's The Avengers
Captain America: The Winter Soldier
Avengers: Age of Ultron
Captain America: Civil War
Avengers: Infinity War
Rescue of Tony Stark and Ambush on Thanos
Avengers: Endgame

thor
Thor is Born
Thor
Marvel's The Avengers
Thor: The Dark World
Avengers: Age of Ultron
Thor Ragnarok
Avengers: Infinity War
Rescue of Tony Stark and Ambush on Thanos
Avengers: Endgame
Thor: Love and Thunder
